"[9499.0, 13591689.0, 3.0]"
"[46.98, 9371510.0, -1]"
"[35.0, 6661611.0, -1]"
"[56.25, 11251305.0, -1]"
"[76.99, 1099.0, 2.0]"
"[67.17, 18921922.0, 4.0]"
"[48.81, 13751655.0, 3.0]"
"[240.0, 2430.0, 3.0]"
"[9499.0, 13591689.0, 3.0]"
"[69.0, 1800.0, 3.0]"
"[70.0, 1450.0, 3.0]"
"[114.99999999999999, 30004050.0, 5.0]"
"[325.0, 3100.0, 4.0]"
"[300.0, 3100.0, 4.0]"
"[400.0, 6353.0, 4.0]"
